頁面,待補說明,來源資料夾
zh,合作夥伴與贊助商 Logo 待補 —— 來源 TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/ （目前整個單元的收件夾為空，尚未取得任何夥伴名稱、Logo 與合作說明。 依規劃書後台 E1，夥伴 Logo 需提供深淺底兩版）,TCRFC_資料收件夾/09_PARTNERS_合作夥伴與贊助/ （目前整個單元的收件夾為空
zh/about/ecosystem,生態系圖解目前以四大體系（一線隊／學院／課程／女足）為主架構，若客戶另有更完整的生態系版本（例如納入慈善、球迷會等延伸圈層），請提供 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.6_生態系介紹/ 內對應說明（目前資料夾為空，僅有系統 Icon 檔）。,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.6_生態系介紹/ 內對應說明（目前資料夾為空
zh/about/governance,組織架構圖待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.5_治理與管理（組織圖、章程、年報PDF）/ （目前資料夾為空，僅有系統 Icon 檔，尚未收到組織圖檔案）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.5_治理與管理（組織圖、章程、年報PDF
zh/about/governance,治理原則內容待補 —— 來源同上 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.5_治理與管理（組織圖、章程、年報PDF）/ （資料夾目前無檔案，需另行向俱樂部確認治理原則文字，例如董事會／管理層組成、決策機制、財務監督方式等）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.5_治理與管理（組織圖、章程、年報PDF
zh/about/governance,PDF,
zh/about/governance,檔案待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.5_治理與管理（組織圖、章程、年報PDF）/,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.5_治理與管理（組織圖、章程、年報PDF
zh/about/governance,PDF,
zh/about/governance,檔案待補 —— 來源同上，尚未收到任何年份的年報 PDF,
zh/about/history,俱樂部完整圖文歷史敘事待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.7_俱樂部歷程/ （目前資料夾為空，僅有系統 Icon 檔，尚未收到任何文字或照片素材）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.7_俱樂部歷程/ （目前資料夾為空
zh/about/history,篇章一：創立與草創期 內容待補,
zh/about/history,篇章二：組織成形與首季戰果 內容待補,
zh/about/history,篇章三：國際交流與體系擴展 內容待補,
zh/about/milestones,2024 年度更完整的里程碑內容待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.8_重要里程碑（依年份，每年一資料夾）/2024/2024.gdoc （Google Docs 捷徑尚未取回；下列項目為目前可確認的事實與已發布消息，正確日期待與客戶核對）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.8_重要里程碑（依年份
zh/about/milestones,2025 年度更完整的里程碑內容待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.8_重要里程碑（依年份，每年一資料夾）/2025/2025.gdoc （Google Docs 捷徑尚未取回；下列項目取自俱樂部已發布消息）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.8_重要里程碑（依年份
zh/about/milestones,2026 年度更完整的里程碑內容待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.8_重要里程碑（依年份，每年一資料夾）/2026/2026.gdoc （Google Docs 捷徑尚未取回；下列項目取自俱樂部已發布消息，且僅涵蓋至 2026-08-10）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.8_重要里程碑（依年份
zh/about/our-people,瑪 總教練 瑪蒂諾 Matino Sofia 托 教練 托馬斯・卡斯泰洛 Thomas Castello 儒 守門員教練 儒利亞諾・羅德里格斯 Juliano Rodrigues 江 體能教練 江奕璠 徐 青訓總監 徐翊 許 青訓教練 許志傑 黃 青訓教練 黃聖傑,
zh/about/our-people,陳 技術顧問 陳曉明,
zh/about/our-story,俱樂部完整沿革敘事（創立緣起、關鍵轉折、發展階段）待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.1_我們的故事（沿革介紹文＋照片）/我們的故事.gdoc （目前為 Google Docs 捷徑，尚未取回文字內容）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.1_我們的故事（沿革介紹文＋照片
zh/about/our-story,俱樂部照片待選用與取得授權 —— 來源資料夾內已有多張現場照片（含團隊大合照），惟尚未確認可公開使用之肖像授權範圍，故本次不逕行匯入。來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.1_我們的故事（沿革介紹文＋照片）/ 引言區塊待補 —— 需俱樂部授權之管理層或創辦人原話，不可代擬。來源同上,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.1_我們的故事（沿革介紹文＋照片
zh/about/philosophy,足球理念完整敘述文字待補 —— 來源 TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.3_足球理念與四大核心價值/足球理念.gdoc （目前為 Google Docs 捷徑，尚未取回文字內容）,TCRFC_資料收件夾/02_ABOUT_關於磐石★/2.3_足球理念與四大核心價值/足球理念.gdoc （目前為 Google Docs 捷徑
