類型,舊網址,最後更新,初步建議,客戶決定（保留／改寫／捨棄）,新站對應頁面／備註
商品,https://www.tcrfc.tw/product-page/厚底緩震機能襪,2026-07-21,導向 Shopify（規劃書 §8.3）,,
商品,https://www.tcrfc.tw/product-page/台中磐石主場球衣-2026賽季,2026-07-21,導向 Shopify（規劃書 §8.3）,,
商品分類,https://www.tcrfc.tw/category/足部裝備,2026-07-21,導向 Shopify（規劃書 §8.3）,,
商品分類,https://www.tcrfc.tw/category/球衣-jersey,2026-07-21,導向 Shopify（規劃書 §8.3）,,
商品分類,https://www.tcrfc.tw/category/all-products,2026-07-21,導向 Shopify（規劃書 §8.3）,,
新聞,https://www.tcrfc.tw/post/spain_rcalcobendas,2024-11-05,待客戶決定,,
新聞,https://www.tcrfc.tw/post/乙級聯賽-台中磐石-9-0-銘傳大學desafio,2024-12-07,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石有條件地通過甲級俱樂部認證,2024-12-18,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石獲臺中市政府運動局在合作及冠名上的認可,2025-01-09,待客戶決定,,
新聞,https://www.tcrfc.tw/post/報名已正式額滿！,2025-02-05,待客戶決定,,
新聞,https://www.tcrfc.tw/post/俱樂部人氣王選舉,2025-02-09,待客戶決定,,
新聞,https://www.tcrfc.tw/post/朝景加盟九龍城,2025-02-09,待客戶決定,,
新聞,https://www.tcrfc.tw/post/台中磐石取得最佳教練獎、金靴獎,2025-02-09,待客戶決定,,
新聞,https://www.tcrfc.tw/post/__友誼賽,2025-02-09,待客戶決定,,
新聞,https://www.tcrfc.tw/post/日本移地訓練總結,2025-02-19,待客戶決定,,
新聞,https://www.tcrfc.tw/post/四名球員參與東京農業大學足球隊訓練,2025-02-28,待客戶決定,,
新聞,https://www.tcrfc.tw/post/spaintraining,2025-03-04,待客戶決定,,
新聞,https://www.tcrfc.tw/post/fmvsfuturo,2025-03-13,待客戶決定,,
新聞,https://www.tcrfc.tw/post/taichungfm,2025-03-15,待客戶決定,,
新聞,https://www.tcrfc.tw/post/kuanyukaoctfa,2025-03-17,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfc_actaipei,2025-03-22,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tcrfc_actaipei-1,2025-03-29,待客戶決定,,
新聞,https://www.tcrfc.tw/post/presidentcup2025,2025-04-02,待客戶決定,,
新聞,https://www.tcrfc.tw/post/熱身賽第四戰-陽信北競對台中磐石,2025-04-03,待客戶決定,,
新聞,https://www.tcrfc.tw/post/actaipei_tcrfc,2025-04-07,待客戶決定,,
新聞,https://www.tcrfc.tw/post/rcalcobendas_liang,2025-04-07,待客戶決定,,
新聞,https://www.tcrfc.tw/post/enchisun_mexicofc,2025-04-08,待客戶決定,,
新聞,https://www.tcrfc.tw/post/wangyiyou_tcrfc,2025-04-11,待客戶決定,,
新聞,https://www.tcrfc.tw/post/liaoyishen_tcrfc,2025-04-11,待客戶決定,,
新聞,https://www.tcrfc.tw/post/tsouyuchieh_tcrfc,2025-04-11,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pcg_reservesvstsgfc,2025-04-13,待客戶決定,,
新聞,https://www.tcrfc.tw/post/pcg_tcrfcfju,2025-04-13,待客戶決定,,
