round,match_no,date,weekday,kickoff,home_away,opponent_zh,venue_zh
1,3,2026-09-13,SUN,19:00,AWAY,高雄先鋒,楠梓足球場
2,6,2026-09-20,SUN,16:30,HOME,台灣電力,西屯足球場
3,12,2026-10-11,SUN,16:00,AWAY,陽信北競,汐止綜合運動場
4,13,2026-10-18,SUN,18:30,AWAY,南市台鋼,台南市立足球場
5,20,2026-10-25,SUN,19:00,HOME,台中FUTURO,西屯足球場
6,22,2026-11-01,SUN,19:00,AWAY,新北航源,輔仁大學足球場
7,27,2026-11-22,SUN,15:30,HOME,大同足球,TBC
8,31,2026-11-29,SUN,19:00,HOME,高雄先鋒,西屯足球場
9,34,2026-12-06,SUN,15:30,AWAY,台灣電力,楠梓足球場
10,40,2026-12-13,SUN,19:00,HOME,陽信北競,西屯足球場
11,41,2027-01-24,SUN,16:00,HOME,南市台鋼,西屯足球場
12,48,2027-01-31,SUN,19:00,AWAY,台中FUTURO,西屯足球場
13,50,2027-02-21,SUN,19:00,HOME,新北航源,西屯足球場
14,55,2027-02-28,SUN,16:00,AWAY,大同足球,輔仁大學足球場
15,59,2027-03-07,SUN,19:00,AWAY,高雄先鋒,楠梓足球場
16,62,2027-03-14,SUN,16:00,HOME,台灣電力,西屯足球場
17,68,2027-03-21,SUN,15:30,AWAY,陽信北競,汐止綜合運動場
18,69,2027-04-11,SUN,18:30,AWAY,南市台鋼,台南市立足球場
19,76,2027-04-18,SUN,19:00,HOME,台中FUTURO,西屯足球場
20,78,2027-04-25,SUN,15:30,AWAY,新北航源,台北田徑場
21,83,2027-05-02,SUN,16:30,HOME,大同足球,西屯足球場
